City,State,Wind Speed,Date
BIRMINGHAM,AL,6.9,2022-01-01
HUNTSVILLE,AL,8.3,2022-01-01
MOBILE,AL,8.5,2022-01-01
MONTGOMERY,AL,7.0,2022-01-01
ANCHORAGE,AK,6.3,2022-01-01
ANNETTE,AK,9.0,2022-01-01
BARROW,AK,12.7,2022-01-01
BETHEL,AK,14.1,2022-01-01
BETTLES,AK,4.6,2022-01-01
BIG DELTA,AK,12.0,2022-01-01
COLD BAY,AK,16.4,2022-01-01
FAIRBANKS,AK,2.4,2022-01-01
GULKANA,AK,3.0,2022-01-01
HOMER,AK,7.0,2022-01-01
JUNEAU,AK,7.3,2022-01-01
KING SALMON,AK,10.1,2022-01-01
KODIAK,AK,12.0,2022-01-01
KOTZEBUE,AK,12.0,2022-01-01
MCGRATH,AK,2.9,2022-01-01
NOME,AK,9.2,2022-01-01
TALKEETNA,AK,5.2,2022-01-01
VALDEZ,AK,7.0,2022-01-01
YAKUTAT,AK,5.7,2022-01-01
FLAGSTAFF,AZ,6.0,2022-01-01
PHOENIX,AZ,4.9,2022-01-01
TUCSON,AZ,7.1,2022-01-01
WINSLOW,AZ,6.1,2022-01-01
FORT SMITH,AR,7.7,2022-01-01
LITTLE ROCK,AR,7.7,2022-01-01
BAKERSFIELD,CA,4.9,2022-01-01
BISHOP,CA,7.1,2022-01-01
BLUE CANYON,CA,5.5,2022-01-01
FRESNO,CA,4.1,2022-01-01
LONG BEACH,CA,4.4,2022-01-01
LOS ANGELES,CA,1.4,2022-01-01
REDDING,CA,5.4,2022-01-01
SACRAMENTO,CA,5.0,2022-01-01
SAN DIEGO,CA,5.1,2022-01-01
SAN FRANCISCO,CA,6.8,2022-01-01
SANTA BARBARA,CA,4.3,2022-01-01
SANTA MARIA,CA,6.3,2022-01-01
STOCKTON,CA,6.0,2022-01-01
ALAMOSA,CO,5.2,2022-01-01
COLORADO SPRINGS,CO,8.8,2022-01-01
DENVER,CO,7.8,2022-01-01
GRAND JUNCTION,CO,5.3,2022-01-01
PUEBLO,CO,7.2,2022-01-01
BRIDGEPORT,CT,10.1,2022-01-01
HARTFORD,CT,8.3,2022-01-01
WILMINGTON,DE,9.2,2022-01-01
WASHINGTON DULLES,DC,7.8,2022-01-01
DAYTONA BEACH,FL,7.3,2022-01-01
FORT MYERS,FL,7.5,2022-01-01
GAINESVILLE,FL,6.4,2022-01-01
JACKSONVILLE,FL,7.0,2022-01-01
KEY WEST,FL,10.8,2022-01-01
MIAMI,FL,8.6,2022-01-01
ORLANDO,FL,8.3,2022-01-01
PENSACOLA,FL,8.6,2022-01-01
TALLAHASSEE,FL,5.8,2022-01-01
TAMPA,FL,7.2,2022-01-01
VERO BEACH,FL,8.5,2022-01-01
WEST PALM BEACH,FL,9.9,2022-01-01
ATHENS,GA,7.1,2022-01-01
ATLANTA,GA,9.3,2022-01-01
AUGUSTA,GA,6.1,2022-01-01
COLUMBUS,GA,6.5,2022-01-01
MACON,GA,6.6,2022-01-01
SAVANNAH,GA,7.3,2022-01-01
HILO,HI,6.9,2022-01-01
HONOLULU,HI,8.5,2022-01-01
KAHULUI,HI,10.6,2022-01-01
LIHUE,HI,11.9,2022-01-01
BOISE,ID,6.5,2022-01-01
LEWISTON,ID,6.4,2022-01-01
POCATELLO,ID,9.2,2022-01-01
CHICAGO,IL,11.1,2022-01-01
MOLINE,IL,9.7,2022-01-01
PEORIA,IL,9.4,2022-01-01
ROCKFORD,IL,10.0,2022-01-01
SPRINGFIELD,IL,10.9,2022-01-01
EVANSVILLE,IN,8.2,2022-01-01
FORT WAYNE,IN,11.0,2022-01-01
INDIANAPOLIS,IN,10.9,2022-01-01
SOUTH BEND,IN,10.8,2022-01-01
DES MOINES,IA,10.6,2022-01-01
DUBUQUE,IA,11.4,2022-01-01
SIOUX CITY,IA,11.1,2022-01-01
WATERLOO,IA,10.6,2022-01-01
CONCORDIA,KS,10.8,2022-01-01
DODGE CITY,KS,12.4,2022-01-01
GOODLAND,KS,11.9,2022-01-01
TOPEKA,KS,8.3,2022-01-01
WICHITA,KS,11.1,2022-01-01
JACKSON,KY,6.1,2022-01-01
LEXINGTON,KY,9.5,2022-01-01
LOUISVILLE,KY,9.0,2022-01-01
PADUCAH,KY,8.3,2022-01-01
BATON ROUGE,LA,7.2,2022-01-01
LAKE CHARLES,LA,8.7,2022-01-01
NEW ORLEANS,LA,9.1,2022-01-01
SHREVEPORT,LA,8.1,2022-01-01
CARIBOU,ME,8.4,2022-01-01
PORTLAND,ME,8.1,2022-01-01
BALTIMORE,MD,7.9,2022-01-01
BOSTON,MA,12.6,2022-01-01
WORCESTER,MA,11.4,2022-01-01
ALPENA,MI,8.3,2022-01-01
DETROIT,MI,11.0,2022-01-01
FLINT,MI,10.4,2022-01-01
GRAND RAPIDS,MI,10.8,2022-01-01
HOUGHTON LAKE,MI,8.7,2022-01-01
LANSING,MI,10.5,2022-01-01
MUSKEGON,MI,11.4,2022-01-01
DULUTH,MN,10.6,2022-01-01
INTERNATIONAL FALLS,MN,7.7,2022-01-01
ROCHESTER,MN,13.4,2022-01-01
SAINT CLOUD,MN,8.5,2022-01-01
JACKSON,MS,7.2,2022-01-01
MERIDIAN,MS,6.8,2022-01-01
TUPELO,MS,7.4,2022-01-01
COLUMBIA,MO,10.4,2022-01-01
KANSAS CITY,MO,10.9,2022-01-01
SPRINGFIELD,MO,10.1,2022-01-01
BILLINGS,MT,13.4,2022-01-01
GLASGOW,MT,9.5,2022-01-01
GREAT FALLS,MT,14.0,2022-01-01
HAVRE,MT,10.1,2022-01-01
HELENA,MT,5.7,2022-01-01
KALISPELL,MT,4.3,2022-01-01
MISSOULA,MT,4.0,2022-01-01
GRAND ISLAND,NE,11.2,2022-01-01
LINCOLN,NE,9.4,2022-01-01
NORFOLK,NE,11.0,2022-01-01
NORTH PLATTE,NE,8.5,2022-01-01
OMAHA,NE,10.3,2022-01-01
SCOTTSBLUFF,NE,9.9,2022-01-01
VALENTINE,NE,9.4,2022-01-01
ELKO,NV,4.8,2022-01-01
ELY,NV,9.0,2022-01-01
LAS VEGAS,NV,6.7,2022-01-01
RENO,NV,4.6,2022-01-01
WINNEMUCCA,NV,7.0,2022-01-01
CONCORD,NH,6.6,2022-01-01
ATLANTIC CITY,NJ,9.5,2022-01-01
NEWARK,NJ,10.7,2022-01-01
ALBUQUERQUE,NM,7.3,2022-01-01
CLAYTON,NM,11.6,2022-01-01
ROSWELL,NM,7.4,2022-01-01
ALBANY,NY,8.7,2022-01-01
BINGHAMTON,NY,9.8,2022-01-01
BUFFALO,NY,12.4,2022-01-01
ISLIP,NY,10.0,2022-01-01
NEW YORK JFK AP,NY,12.6,2022-01-01
ROCHESTER,NY,10.6,2022-01-01
SYRACUSE,NY,9.7,2022-01-01
ASHEVILLE,NC,8.5,2022-01-01
CAPE HATTERAS,NC,10.0,2022-01-01
CHARLOTTE,NC,6.6,2022-01-01
RALEIGH,NC,6.8,2022-01-01
WILMINGTON,NC,8.0,2022-01-01
BISMARCK,ND,9.2,2022-01-01
FARGO,ND,11.3,2022-01-01
GRAND FORKS,ND,11.0,2022-01-01
WILLISTON,ND,8.8,2022-01-01
AKRON,OH,11.0,2022-01-01
CINCINNATI,OH,9.7,2022-01-01
CLEVELAND,OH,11.4,2022-01-01
COLUMBUS,OH,9.2,2022-01-01
DAYTON,OH,11.1,2022-01-01
MANSFIELD,OH,11.7,2022-01-01
TOLEDO,OH,10.4,2022-01-01
YOUNGSTOWN,OH,10.2,2022-01-01
OKLAHOMA CITY,OK,11.6,2022-01-01
TULSA,OK,9.4,2022-01-01
ASTORIA,OR,8.4,2022-01-01
BURNS,OR,4.8,2022-01-01
EUGENE,OR,6.9,2022-01-01
MEDFORD,OR,3.1,2022-01-01
PENDLETON,OR,6.9,2022-01-01
PORTLAND,OR,9.2,2022-01-01
SALEM,OR,6.9,2022-01-01
SEXTON SUMMIT,OR,11.1,2022-01-01
ALLENTOWN,PA,8.2,2022-01-01
ERIE,PA,12.0,2022-01-01
PHILADELPHIA,PA,9.9,2022-01-01
PITTSBURGH,PA,9.2,2022-01-01
AVOCA,PA,7.7,2022-01-01
WILLIAMSPORT,PA,7.6,2022-01-01
PROVIDENCE,RI,9.7,2022-01-01
CHARLESTON,SC,8.2,2022-01-01
COLUMBIA,SC,6.6,2022-01-01
ABERDEEN,SD,10.5,2022-01-01
HURON,SD,10.5,2022-01-01
RAPID CITY,SD,10.3,2022-01-01
SIOUX FALLS,SD,10.3,2022-01-01
CHATTANOOGA,TN,5.8,2022-01-01
KNOXVILLE,TN,6.7,2022-01-01
MEMPHIS,TN,8.9,2022-01-01
NASHVILLE,TN,8.0,2022-01-01
ABILENE,TX,10.7,2022-01-01
AMARILLO,TX,12.1,2022-01-01
AUSTIN,TX,6.7,2022-01-01
BROWNSVILLE,TX,10.0,2022-01-01
CORPUS CHRISTI,TX,11.8,2022-01-01
DALLAS,TX,8.9,2022-01-01
DEL RIO,TX,7.3,2022-01-01
EL PASO,TX,7.4,2022-01-01
GALVESTON,TX,11.5,2022-01-01
HOUSTON,TX,7.9,2022-01-01
LUBBOCK,TX,11.7,2022-01-01
PORT ARTHUR,TX,9.5,2022-01-01
SAN ANGELO,TX,9.6,2022-01-01
SAN ANTONIO,TX,7.6,2022-01-01
VICTORIA,TX,9.7,2022-01-01
WACO,TX,9.9,2022-01-01
WICHITA FALLS,TX,10.9,2022-01-01
SALT LAKE CITY,UT,6.5,2022-01-01
BURLINGTON,VT,9.2,2022-01-01
LYNCHBURG,VA,6.3,2022-01-01
NORFOLK,VA,10.0,2022-01-01
RICHMOND,VA,8.2,2022-01-01
ROANOKE,VA,8.0,2022-01-01
WALLOPS ISLAND,VA,9.3,2022-01-01
OLYMPIA,WA,6.0,2022-01-01
QUILLAYUTE,WA,6.3,2022-01-01
SEATTLE,WA,8.4,2022-01-01
SPOKANE,WA,8.2,2022-01-01
WALLA WALLA,WA,7.1,2022-01-01
YAKIMA,WA,4.4,2022-01-01
BECKLEY,WV,8.6,2022-01-01
CHARLESTON,WV,5.8,2022-01-01
ELKINS,WV,6.0,2022-01-01
HUNTINGTON,WV,6.9,2022-01-01
GREEN BAY,WI,9.6,2022-01-01
LA CROSSE,WI,8.6,2022-01-01
MADISON,WI,8.6,2022-01-01
MILWAUKEE,WI,11.0,2022-01-01
CASPER,WY,15.5,2022-01-01
CHEYENNE,WY,14.3,2022-01-01
LANDER,WY,4.8,2022-01-01
SHERIDAN,WY,6.7,2022-01-01
GUAM,PC,11.7,2022-01-01
KOROR,PC,6.8,2022-01-01
SAN JUAN,PR,7.7,2022-01-01
BIRMINGHAM,AL,7.4,2022-02-01
HUNTSVILLE,AL,8.7,2022-02-01
MOBILE,AL,8.9,2022-02-01
MONTGOMERY,AL,7.3,2022-02-01
ANCHORAGE,AK,6.4,2022-02-01
ANNETTE,AK,8.5,2022-02-01
BARROW,AK,12.9,2022-02-01
BETHEL,AK,13.8,2022-02-01
BETTLES,AK,5.0,2022-02-01
BIG DELTA,AK,11.3,2022-02-01
COLD BAY,AK,17.4,2022-02-01
FAIRBANKS,AK,3.0,2022-02-01
GULKANA,AK,4.0,2022-02-01
HOMER,AK,7.0,2022-02-01
JUNEAU,AK,7.4,2022-02-01
KING SALMON,AK,10.5,2022-02-01
KODIAK,AK,11.9,2022-02-01
KOTZEBUE,AK,12.8,2022-02-01
MCGRATH,AK,3.7,2022-02-01
NOME,AK,10.3,2022-02-01
TALKEETNA,AK,5.0,2022-02-01
VALDEZ,AK,6.8,2022-02-01
YAKUTAT,AK,5.6,2022-02-01
FLAGSTAFF,AZ,6.6,2022-02-01
PHOENIX,AZ,5.6,2022-02-01
TUCSON,AZ,7.4,2022-02-01
WINSLOW,AZ,7.6,2022-02-01
FORT SMITH,AR,8.1,2022-02-01
LITTLE ROCK,AR,8.1,2022-02-01
BAKERSFIELD,CA,5.6,2022-02-01
BISHOP,CA,8.1,2022-02-01
BLUE CANYON,CA,6.2,2022-02-01
FRESNO,CA,5.0,2022-02-01
LONG BEACH,CA,5.4,2022-02-01
LOS ANGELES,CA,1.9,2022-02-01
REDDING,CA,6.6,2022-02-01
SACRAMENTO,CA,6.0,2022-02-01
SAN DIEGO,CA,6.1,2022-02-01
SAN FRANCISCO,CA,8.7,2022-02-01
SANTA BARBARA,CA,5.5,2022-02-01
SANTA MARIA,CA,7.2,2022-02-01
STOCKTON,CA,7.3,2022-02-01
ALAMOSA,CO,6.8,2022-02-01
COLORADO SPRINGS,CO,9.5,2022-02-01
DENVER,CO,7.8,2022-02-01
GRAND JUNCTION,CO,6.4,2022-02-01
PUEBLO,CO,8.0,2022-02-01
BRIDGEPORT,CT,10.3,2022-02-01
HARTFORD,CT,8.8,2022-02-01
WILMINGTON,DE,9.6,2022-02-01
WASHINGTON DULLES,DC,8.0,2022-02-01
DAYTONA BEACH,FL,7.5,2022-02-01
FORT MYERS,FL,7.6,2022-02-01
GAINESVILLE,FL,6.8,2022-02-01
JACKSONVILLE,FL,7.3,2022-02-01
KEY WEST,FL,10.6,2022-02-01
MIAMI,FL,8.8,2022-02-01
ORLANDO,FL,8.4,2022-02-01
PENSACOLA,FL,8.9,2022-02-01
TALLAHASSEE,FL,6.1,2022-02-01
TAMPA,FL,7.4,2022-02-01
VERO BEACH,FL,8.7,2022-02-01
WEST PALM BEACH,FL,10.0,2022-02-01
ATHENS,GA,7.2,2022-02-01
ATLANTA,GA,9.5,2022-02-01
AUGUSTA,GA,6.5,2022-02-01
COLUMBUS,GA,6.8,2022-02-01
MACON,GA,6.9,2022-02-01
SAVANNAH,GA,7.7,2022-02-01
HILO,HI,7.2,2022-02-01
HONOLULU,HI,9.1,2022-02-01
KAHULUI,HI,11.2,2022-02-01
LIHUE,HI,12.4,2022-02-01
BOISE,ID,7.7,2022-02-01
LEWISTON,ID,5.8,2022-02-01
POCATELLO,ID,9.8,2022-02-01
CHICAGO,IL,10.9,2022-02-01
MOLINE,IL,9.5,2022-02-01
PEORIA,IL,9.2,2022-02-01
ROCKFORD,IL,10.1,2022-02-01
SPRINGFIELD,IL,10.7,2022-02-01
EVANSVILLE,IN,8.2,2022-02-01
FORT WAYNE,IN,10.5,2022-02-01
INDIANAPOLIS,IN,10.8,2022-02-01
SOUTH BEND,IN,10.4,2022-02-01
DES MOINES,IA,10.4,2022-02-01
DUBUQUE,IA,11.4,2022-02-01
SIOUX CITY,IA,11.1,2022-02-01
WATERLOO,IA,10.6,2022-02-01
CONCORDIA,KS,11.1,2022-02-01
DODGE CITY,KS,13.0,2022-02-01
GOODLAND,KS,12.4,2022-02-01
TOPEKA,KS,8.5,2022-02-01
WICHITA,KS,11.6,2022-02-01
JACKSON,KY,6.2,2022-02-01
LEXINGTON,KY,9.3,2022-02-01
LOUISVILLE,KY,9.0,2022-02-01
PADUCAH,KY,8.4,2022-02-01
BATON ROUGE,LA,7.7,2022-02-01
LAKE CHARLES,LA,9.1,2022-02-01
NEW ORLEANS,LA,9.4,2022-02-01
SHREVEPORT,LA,8.5,2022-02-01
CARIBOU,ME,8.5,2022-02-01
PORTLAND,ME,8.5,2022-02-01
BALTIMORE,MD,8.2,2022-02-01
BOSTON,MA,12.6,2022-02-01
WORCESTER,MA,11.5,2022-02-01
ALPENA,MI,8.4,2022-02-01
DETROIT,MI,10.5,2022-02-01
FLINT,MI,10.2,2022-02-01
GRAND RAPIDS,MI,10.6,2022-02-01
HOUGHTON LAKE,MI,8.5,2022-02-01
LANSING,MI,10.2,2022-02-01
MUSKEGON,MI,10.9,2022-02-01
DULUTH,MN,10.5,2022-02-01
INTERNATIONAL FALLS,MN,7.9,2022-02-01
ROCHESTER,MN,13.2,2022-02-01
SAINT CLOUD,MN,8.5,2022-02-01
JACKSON,MS,7.5,2022-02-01
MERIDIAN,MS,7.3,2022-02-01
TUPELO,MS,7.9,2022-02-01
COLUMBIA,MO,10.5,2022-02-01
KANSAS CITY,MO,10.9,2022-02-01
SPRINGFIELD,MO,10.3,2022-02-01
BILLINGS,MT,11.9,2022-02-01
GLASGOW,MT,9.5,2022-02-01
GREAT FALLS,MT,12.2,2022-02-01
HAVRE,MT,9.3,2022-02-01
HELENA,MT,6.4,2022-02-01
KALISPELL,MT,5.0,2022-02-01
MISSOULA,MT,4.9,2022-02-01
GRAND ISLAND,NE,11.6,2022-02-01
LINCOLN,NE,9.8,2022-02-01
NORFOLK,NE,11.2,2022-02-01
NORTH PLATTE,NE,9.2,2022-02-01
OMAHA,NE,10.5,2022-02-01
SCOTTSBLUFF,NE,10.4,2022-02-01
VALENTINE,NE,9.6,2022-02-01
ELKO,NV,5.5,2022-02-01
ELY,NV,9.3,2022-02-01
LAS VEGAS,NV,7.7,2022-02-01
RENO,NV,5.8,2022-02-01
WINNEMUCCA,NV,7.9,2022-02-01
CONCORD,NH,7.1,2022-02-01
ATLANTIC CITY,NJ,10.0,2022-02-01
NEWARK,NJ,10.9,2022-02-01
ALBUQUERQUE,NM,8.3,2022-02-01
CLAYTON,NM,12.5,2022-02-01
ROSWELL,NM,8.7,2022-02-01
ALBANY,NY,9.0,2022-02-01
BINGHAMTON,NY,9.9,2022-02-01
BUFFALO,NY,11.8,2022-02-01
ISLIP,NY,10.2,2022-02-01
NEW YORK JFK AP,NY,12.6,2022-02-01
ROCHESTER,NY,10.4,2022-02-01
SYRACUSE,NY,9.6,2022-02-01
ASHEVILLE,NC,8.4,2022-02-01
CAPE HATTERAS,NC,10.1,2022-02-01
CHARLOTTE,NC,7.1,2022-02-01
RALEIGH,NC,7.2,2022-02-01
WILMINGTON,NC,8.4,2022-02-01
BISMARCK,ND,9.0,2022-02-01
FARGO,ND,11.5,2022-02-01
GRAND FORKS,ND,10.7,2022-02-01
WILLISTON,ND,8.7,2022-02-01
AKRON,OH,10.5,2022-02-01
CINCINNATI,OH,9.7,2022-02-01
CLEVELAND,OH,10.7,2022-02-01
COLUMBUS,OH,8.9,2022-02-01
DAYTON,OH,10.8,2022-02-01
MANSFIELD,OH,11.0,2022-02-01
TOLEDO,OH,10.0,2022-02-01
YOUNGSTOWN,OH,9.8,2022-02-01
OKLAHOMA CITY,OK,12.2,2022-02-01
TULSA,OK,9.7,2022-02-01
ASTORIA,OR,8.1,2022-02-01
BURNS,OR,6.2,2022-02-01
EUGENE,OR,7.1,2022-02-01
MEDFORD,OR,3.8,2022-02-01
PENDLETON,OR,7.4,2022-02-01
PORTLAND,OR,8.5,2022-02-01
SALEM,OR,6.9,2022-02-01
SEXTON SUMMIT,OR,9.8,2022-02-01
ALLENTOWN,PA,8.6,2022-02-01
ERIE,PA,10.9,2022-02-01
PHILADELPHIA,PA,10.3,2022-02-01
PITTSBURGH,PA,9.1,2022-02-01
AVOCA,PA,7.9,2022-02-01
WILLIAMSPORT,PA,7.7,2022-02-01
PROVIDENCE,RI,10.0,2022-02-01
CHARLESTON,SC,8.6,2022-02-01
COLUMBIA,SC,6.9,2022-02-01
ABERDEEN,SD,10.7,2022-02-01
HURON,SD,10.6,2022-02-01
RAPID CITY,SD,10.8,2022-02-01
SIOUX FALLS,SD,10.4,2022-02-01
CHATTANOOGA,TN,6.2,2022-02-01
KNOXVILLE,TN,7.1,2022-02-01
MEMPHIS,TN,9.4,2022-02-01
NASHVILLE,TN,8.3,2022-02-01
ABILENE,TX,11.4,2022-02-01
AMARILLO,TX,12.9,2022-02-01
AUSTIN,TX,7.2,2022-02-01
BROWNSVILLE,TX,11.3,2022-02-01
CORPUS CHRISTI,TX,12.8,2022-02-01
DALLAS,TX,10.0,2022-02-01
DEL RIO,TX,8.2,2022-02-01
EL PASO,TX,8.5,2022-02-01
GALVESTON,TX,11.8,2022-02-01
HOUSTON,TX,8.4,2022-02-01
LUBBOCK,TX,12.4,2022-02-01
PORT ARTHUR,TX,10.1,2022-02-01
SAN ANGELO,TX,10.3,2022-02-01
SAN ANTONIO,TX,8.1,2022-02-01
VICTORIA,TX,10.3,2022-02-01
WACO,TX,10.6,2022-02-01
WICHITA FALLS,TX,11.5,2022-02-01
SALT LAKE CITY,UT,7.7,2022-02-01
BURLINGTON,VT,8.6,2022-02-01
LYNCHBURG,VA,6.5,2022-02-01
NORFOLK,VA,10.3,2022-02-01
RICHMOND,VA,8.5,2022-02-01
ROANOKE,VA,8.0,2022-02-01
WALLOPS ISLAND,VA,9.7,2022-02-01
OLYMPIA,WA,5.9,2022-02-01
QUILLAYUTE,WA,6.2,2022-02-01
SEATTLE,WA,8.5,2022-02-01
SPOKANE,WA,8.5,2022-02-01
WALLA WALLA,WA,7.6,2022-02-01
YAKIMA,WA,5.5,2022-02-01
BECKLEY,WV,8.5,2022-02-01
CHARLESTON,WV,5.7,2022-02-01
ELKINS,WV,6.1,2022-02-01
HUNTINGTON,WV,6.9,2022-02-01
GREEN BAY,WI,9.6,2022-02-01
LA CROSSE,WI,8.6,2022-02-01
MADISON,WI,8.7,2022-02-01
MILWAUKEE,WI,10.8,2022-02-01
CASPER,WY,13.9,2022-02-01
CHEYENNE,WY,13.6,2022-02-01
LANDER,WY,5.2,2022-02-01
SHERIDAN,WY,7.1,2022-02-01
GUAM,PC,12.0,2022-02-01
KOROR,PC,7.0,2022-02-01
SAN JUAN,PR,8.2,2022-02-01
BIRMINGHAM,AL,7.6,2022-03-01
HUNTSVILLE,AL,8.9,2022-03-01
MOBILE,AL,8.9,2022-03-01
MONTGOMERY,AL,7.2,2022-03-01
ANCHORAGE,AK,7.0,2022-03-01
ANNETTE,AK,8.7,2022-03-01
BARROW,AK,11.8,2022-03-01
BETHEL,AK,12.8,2022-03-01
BETTLES,AK,5.7,2022-03-01
BIG DELTA,AK,9.7,2022-03-01
COLD BAY,AK,16.4,2022-03-01
FAIRBANKS,AK,4.6,2022-03-01
GULKANA,AK,5.7,2022-03-01
HOMER,AK,7.2,2022-03-01
JUNEAU,AK,7.7,2022-03-01
KING SALMON,AK,10.2,2022-03-01
KODIAK,AK,12.2,2022-03-01
KOTZEBUE,AK,10.7,2022-03-01
MCGRATH,AK,4.9,2022-03-01
NOME,AK,8.7,2022-03-01
TALKEETNA,AK,5.2,2022-03-01
VALDEZ,AK,6.8,2022-03-01
YAKUTAT,AK,5.9,2022-03-01
FLAGSTAFF,AZ,6.8,2022-03-01
PHOENIX,AZ,6.3,2022-03-01
TUCSON,AZ,7.8,2022-03-01
WINSLOW,AZ,8.8,2022-03-01
FORT SMITH,AR,8.6,2022-03-01
LITTLE ROCK,AR,8.6,2022-03-01
BAKERSFIELD,CA,6.2,2022-03-01
BISHOP,CA,9.3,2022-03-01
BLUE CANYON,CA,6.3,2022-03-01
FRESNO,CA,5.9,2022-03-01
LONG BEACH,CA,5.9,2022-03-01
LOS ANGELES,CA,2.1,2022-03-01
REDDING,CA,6.9,2022-03-01
SACRAMENTO,CA,6.6,2022-03-01
SAN DIEGO,CA,6.6,2022-03-01
SAN FRANCISCO,CA,10.4,2022-03-01
SANTA BARBARA,CA,6.2,2022-03-01
SANTA MARIA,CA,8.1,2022-03-01
STOCKTON,CA,7.8,2022-03-01
ALAMOSA,CO,8.7,2022-03-01
COLORADO SPRINGS,CO,10.5,2022-03-01
DENVER,CO,8.9,2022-03-01
GRAND JUNCTION,CO,7.9,2022-03-01
PUEBLO,CO,9.2,2022-03-01
BRIDGEPORT,CT,10.8,2022-03-01
HARTFORD,CT,9.4,2022-03-01
WILMINGTON,DE,10.3,2022-03-01
WASHINGTON DULLES,DC,8.5,2022-03-01
DAYTONA BEACH,FL,8.0,2022-03-01
FORT MYERS,FL,8.2,2022-03-01
GAINESVILLE,FL,7.1,2022-03-01
JACKSONVILLE,FL,7.8,2022-03-01
KEY WEST,FL,11.0,2022-03-01
MIAMI,FL,9.7,2022-03-01
ORLANDO,FL,9.0,2022-03-01
PENSACOLA,FL,9.2,2022-03-01
TALLAHASSEE,FL,6.4,2022-03-01
TAMPA,FL,7.9,2022-03-01
VERO BEACH,FL,9.5,2022-03-01
WEST PALM BEACH,FL,11.0,2022-03-01
ATHENS,GA,7.2,2022-03-01
ATLANTA,GA,9.5,2022-03-01
AUGUSTA,GA,6.8,2022-03-01
COLUMBUS,GA,7.0,2022-03-01
MACON,GA,7.0,2022-03-01
SAVANNAH,GA,8.2,2022-03-01
HILO,HI,7.2,2022-03-01
HONOLULU,HI,10.1,2022-03-01
KAHULUI,HI,12.2,2022-03-01
LIHUE,HI,13.4,2022-03-01
BOISE,ID,8.7,2022-03-01
LEWISTON,ID,6.2,2022-03-01
POCATELLO,ID,10.7,2022-03-01
CHICAGO,IL,11.1,2022-03-01
MOLINE,IL,10.2,2022-03-01
PEORIA,IL,9.9,2022-03-01
ROCKFORD,IL,10.7,2022-03-01
SPRINGFIELD,IL,11.3,2022-03-01
EVANSVILLE,IN,8.3,2022-03-01
FORT WAYNE,IN,10.6,2022-03-01
INDIANAPOLIS,IN,11.1,2022-03-01
SOUTH BEND,IN,10.4,2022-03-01
DES MOINES,IA,11.1,2022-03-01
DUBUQUE,IA,11.8,2022-03-01
SIOUX CITY,IA,11.7,2022-03-01
WATERLOO,IA,11.3,2022-03-01
CONCORDIA,KS,12.4,2022-03-01
DODGE CITY,KS,14.3,2022-03-01
GOODLAND,KS,13.3,2022-03-01
TOPEKA,KS,9.7,2022-03-01
WICHITA,KS,12.9,2022-03-01
JACKSON,KY,6.3,2022-03-01
