Number,City,State,January,February,March,April,May,June,July,August,September,October,November,December
13876,BIRMINGHAM,AL,6.9,7.4,7.6,7.2,6.1,5.4,5.2,4.8,5.3,5.5,6,6.5
3856,HUNTSVILLE,AL,8.3,8.7,8.9,8.4,7.3,6.1,5.2,5.1,6,6.5,7.3,7.9
13894,MOBILE,AL,8.5,8.9,8.9,8.5,7.4,6.4,5.7,5.6,6.6,7,7.6,8.1
13895,MONTGOMERY,AL,7,7.3,7.2,6.5,5.5,5,4.8,4.6,5.4,5.4,5.8,6.5
26451,ANCHORAGE,AK,6.3,6.4,7,7.1,8.2,8,7.1,6.6,6.8,6.5,6.5,6.3
25308,ANNETTE,AK,9,8.5,8.7,8.2,7.3,7.2,6.4,6.5,6.9,8.2,8.9,9
27502,BARROW,AK,12.7,12.9,11.8,12,12.4,12,12.2,12.3,12.9,13.9,13.3,13.1
26615,BETHEL,AK,14.1,13.8,12.8,11.6,10.6,9.7,9.6,10.3,10.5,11.4,12.3,12.9
26533,BETTLES,AK,4.6,5,5.7,6.4,6.3,5.7,5.4,5,5.3,5.2,4.8,4.7
26415,BIG DELTA,AK,12,11.3,9.7,8.8,8.7,7.6,6.8,7,8.5,9.2,10.6,12.5
25624,COLD BAY,AK,16.4,17.4,16.4,16,15.5,14.9,14.6,15,15.8,16.1,17.1,17.2
26411,FAIRBANKS,AK,2.4,3,4.6,5.8,6.3,5.8,5.3,5,4.8,4,2.8,2.3
26425,GULKANA,AK,3,4,5.7,6.9,7.9,7.5,7,7,7,5,3.5,3.3
25507,HOMER,AK,7,7,7.2,7.4,7.4,7.2,6.5,6.2,6.5,6.6,6.9,7.3
25309,JUNEAU,AK,7.3,7.4,7.7,7.7,7.5,6.8,6.6,6.9,7.6,8.2,7.6,7.9
25503,KING SALMON,AK,10.1,10.5,10.2,10.1,9.9,9.1,8.6,8.8,9.4,9.4,9.6,9.7
25501,KODIAK,AK,12,11.9,12.2,11.6,10.4,9.3,7.9,8.5,9.6,10.9,12,12.4
26616,KOTZEBUE,AK,12,12.8,10.7,10.6,10.1,10.7,11.4,11.9,12.2,13,13.3,12.6
26510,MCGRATH,AK,2.9,3.7,4.9,5.7,6,5.3,4.9,4.8,4.9,4.5,3.4,2.8
26617,NOME,AK,9.2,10.3,8.7,8.8,8.9,8.9,9,9.5,10,9.5,10.4,10.2
26528,TALKEETNA,AK,5.2,5,5.2,4.4,4.6,4.6,4.1,3.4,3.3,3.7,4.8,4.9
26442,VALDEZ,AK,7,6.8,6.8,5.1,5.6,5.9,4.8,4.2,4.4,6.1,7.7,6.8
25339,YAKUTAT,AK,5.7,5.6,5.9,5.6,5.7,5.3,4.9,4.9,5.5,5.8,5.8,6.2
3103,FLAGSTAFF,AZ,6,6.6,6.8,7.8,7.5,7.1,5.1,4.4,5,5.7,6.1,6
23183,PHOENIX,AZ,4.9,5.6,6.3,7.1,7.1,6.9,7.4,6.8,6.2,5.5,4.9,4.7
23160,TUCSON,AZ,7.1,7.4,7.8,8.3,8.3,8.2,7.9,7.5,7.7,7.5,7.3,6.9
23194,WINSLOW,AZ,6.1,7.6,8.8,10.6,10.1,9.8,8.4,7.5,7.2,7,6.4,6.2
13964,FORT SMITH,AR,7.7,8.1,8.6,8.2,7,6.1,5.6,5.7,6,6.4,7.3,7.5
13963,LITTLE ROCK,AR,7.7,8.1,8.6,8.3,7.1,6.3,6.1,5.7,5.9,6.1,7,7.3
23155,BAKERSFIELD,CA,4.9,5.6,6.2,7.1,7.6,7.8,7.4,6.9,6.3,5.6,4.8,4.9
23157,BISHOP,CA,7.1,8.1,9.3,10.1,9.1,8.3,8,7.8,7.6,7.6,7.1,7
23225,BLUE CANYON,CA,5.5,6.2,6.3,5.6,5.4,5.1,4.4,4.5,5,5.1,5.4,6.1
93193,FRESNO,CA,4.1,5,5.9,7.3,8.3,8.3,7.6,6.9,6,4.6,3.9,4
23129,LONG BEACH,CA,4.4,5.4,5.9,6.5,6.5,6.4,6.3,6.1,5.6,5,4.4,4.4
93134,LOS ANGELES,CA,1.4,1.9,2.1,2.4,2.2,2.1,2.1,2,1.7,1.5,1.4,1.4
24257,REDDING,CA,5.4,6.6,6.9,6.6,6.8,7,5.9,5.4,5.6,5.7,5,5.8
23232,SACRAMENTO,CA,5,6,6.6,7.1,7.7,7.9,7.6,7,5.8,5.1,4.5,5.2
23188,SAN DIEGO,CA,5.1,6.1,6.6,7.2,7.4,7.2,7,6.8,6.6,5.7,5.1,4.9
23272,SAN FRANCISCO,CA,6.8,8.7,10.4,12.5,13.8,13.8,13,12.3,11.1,9.1,7.5,7.2
23190,SANTA BARBARA,CA,4.3,5.5,6.2,6.7,6.7,6.2,6,5.6,5.2,4.7,4.4,4.3
23273,SANTA MARIA,CA,6.3,7.2,8.1,9,9.1,8.4,7.1,6.8,6.5,6.6,6.3,6.2
23237,STOCKTON,CA,6,7.3,7.8,8.8,9.7,9.7,8.7,8,7.3,6.3,5.7,6.6
23061,ALAMOSA,CO,5.2,6.8,8.7,10.2,9.9,8.9,6.9,6.3,6.7,6.8,6.3,5.3
93037,COLORADO SPRINGS,CO,8.8,9.5,10.5,11.4,10.6,10,8.9,8.5,9,9.3,8.9,8.7
23062,DENVER,CO,7.8,7.8,8.9,9.2,9,8.3,7.9,7.5,7.4,7.2,7.6,7.1
23066,GRAND JUNCTION,CO,5.3,6.4,7.9,8.9,9.1,9.4,9.2,8.7,8.4,7.4,6.2,5.3
93058,PUEBLO,CO,7.2,8,9.2,10.3,9.6,9.2,8.5,7.9,7.8,7.6,7.2,6.9
94702,BRIDGEPORT,CT,10.1,10.3,10.8,10.3,9.4,8.6,8.1,8.3,9.1,9.6,9.8,9.9
14740,HARTFORD,CT,8.3,8.8,9.4,9,8.1,7.2,6.7,6.3,6.7,7.3,7.9,8
13781,WILMINGTON,DE,9.2,9.6,10.3,9.9,8.4,7.8,7.4,6.9,7.4,7.7,8.5,8.7
93738,WASHINGTON DULLES,DC,7.8,8,8.5,8.1,6.9,6.3,5.7,5.6,6,6.3,7,7
12834,DAYTONA BEACH,FL,7.3,7.5,8,7.8,7.4,6.3,5.7,5.7,6.7,7.5,7.2,6.7
12835,FORT MYERS,FL,7.5,7.6,8.2,8,7.3,6.2,5.5,5.8,6.4,7.5,7.5,7
12816,GAINESVILLE,FL,6.4,6.8,7.1,6.9,6.4,5.6,5,5,5.5,5.9,5.9,5.8
13889,JACKSONVILLE,FL,7,7.3,7.8,7.5,7,6.3,5.8,5.7,6.3,6.5,6.4,6.4
12836,KEY WEST,FL,10.8,10.6,11,11,10.1,9.1,8.6,8.5,8.8,10.3,11.1,10.6
12839,MIAMI,FL,8.6,8.8,9.7,9.7,9,7.5,7.2,7.1,7.4,8.6,8.8,8.3
12815,ORLANDO,FL,8.3,8.4,9,8.7,8,6.9,6.3,6.3,7,7.8,8.1,7.7
13899,PENSACOLA,FL,8.6,8.9,9.2,9.1,8.4,7.4,6.7,6.4,7,7.4,7.9,8.1
93805,TALLAHASSEE,FL,5.8,6.1,6.4,6.2,5.8,5,4.5,4.5,5.4,5.5,5.4,5.4
12842,TAMPA,FL,7.2,7.4,7.9,7.8,7.2,6.6,5.8,5.6,6.2,6.7,7,6.7
12843,VERO BEACH,FL,8.5,8.7,9.5,9.4,8.9,7.5,6.8,6.6,7.3,8.5,8.6,8
12844,WEST PALM BEACH,FL,9.9,10,11,10.7,10,8.2,7.7,7.7,8.4,9.9,10.3,9.6
13873,ATHENS,GA,7.1,7.2,7.2,6.5,5.7,5.1,4.9,4.7,5.4,5.5,5.9,6.5
13874,ATLANTA,GA,9.3,9.5,9.5,9,8,7.4,7.1,6.8,7.6,7.9,8.3,8.8
3820,AUGUSTA,GA,6.1,6.5,6.8,6.5,5.7,5.1,5,4.3,4.7,4.7,5,5.4
93842,COLUMBUS,GA,6.5,6.8,7,6.6,6.1,5.6,5.5,5.2,5.8,5.7,5.7,6
3813,MACON,GA,6.6,6.9,7,6.5,5.9,5.5,5.2,4.8,5.3,5.4,5.6,6
3822,SAVANNAH,GA,7.3,7.7,8.2,7.8,7.1,6.5,6.2,5.9,6.6,6.5,6.5,6.7
21504,HILO,HI,6.9,7.2,7.2,7,6.9,6.6,6.5,6.5,6.5,6.3,6.4,6.5
22521,HONOLULU,HI,8.5,9.1,10.1,10.9,10.4,11.8,11.9,11.7,10.2,9.5,9.7,9.3
22516,KAHULUI,HI,10.6,11.2,12.2,13.3,12.9,15.2,15.3,14.9,13,11.9,11.7,11
22536,LIHUE,HI,11.9,12.4,13.4,14.3,13.2,14.3,14.6,13.9,12.7,12.5,13.3,12.7
24131,BOISE,ID,6.5,7.7,8.7,8.8,8.3,8.1,7.4,7.3,7.1,7,7,6.9
24149,LEWISTON,ID,6.4,5.8,6.2,6.3,5.9,5.9,5.8,5.5,4.9,4.9,5.7,6
24156,POCATELLO,ID,9.2,9.8,10.7,11.5,10.2,9.7,8.6,8.5,8.4,9.4,9.7,9.1
94846,CHICAGO,IL,11.1,10.9,11.1,11.2,10,8.9,8.2,7.8,8.5,9.7,10.6,10.4
14923,MOLINE,IL,9.7,9.5,10.2,10.5,8.8,7.5,6.5,6,6.8,8.2,9.3,9.1
14842,PEORIA,IL,9.4,9.2,9.9,10,8.4,7.4,6.4,6,6.6,7.9,9.2,8.9
94822,ROCKFORD,IL,10,10.1,10.7,11.1,9.6,8.2,7.3,6.8,7.6,9,10,9.6
93822,SPRINGFIELD,IL,10.9,10.7,11.3,11.3,9.5,7.8,6.7,6.4,7.1,8.9,10.6,10.4
93817,EVANSVILLE,IN,8.2,8.2,8.3,8.2,6.9,6.2,5.4,5,5.3,6.1,7.2,7.5
14827,FORT WAYNE,IN,11,10.5,10.6,10.8,9.4,8.1,6.9,6.2,6.9,8.6,10,10.3
93819,INDIANAPOLIS,IN,10.9,10.8,11.1,11.1,9.5,8.5,7.6,7.3,7.9,9.1,10.2,10.3
14848,SOUTH BEND,IN,10.8,10.4,10.4,10.5,9.1,8,7.2,6.7,7.3,8.7,10,10.2
14933,DES MOINES,IA,10.6,10.4,11.1,11.4,10,9.1,8.3,7.8,8.8,9.7,10.5,10.2
94908,DUBUQUE,IA,11.4,11.4,11.8,12.3,10.6,9.1,7.9,7.6,8.7,10.3,11.3,10.9
14943,SIOUX CITY,IA,11.1,11.1,11.7,12.4,11.3,9.8,8.2,8,9.1,10.1,10.8,10.7
94910,WATERLOO,IA,10.6,10.6,11.3,11.9,10.4,8.9,7.6,7.2,8.4,9.6,10.4,10.1
13984,CONCORDIA,KS,10.8,11.1,12.4,12.8,11.2,11.1,10.1,9.5,10.5,10.8,11.3,10.6
13985,DODGE CITY,KS,12.4,13,14.3,14.8,13.7,13.6,12.3,11.6,12.9,12.8,12.9,12.4
23065,GOODLAND,KS,11.9,12.4,13.3,14.1,13,12.2,11.1,10.6,11.4,11.7,11.9,11.7
13996,TOPEKA,KS,8.3,8.5,9.7,9.9,8.4,7.9,6.8,6.2,6.9,7.7,8.4,7.9
3928,WICHITA,KS,11.1,11.6,12.9,13.3,11.8,11.9,10.7,10.1,10.9,11.2,11.6,10.8
3889,JACKSON,KY,6.1,6.2,6.3,6.1,4.3,3.6,3.2,3.1,3.5,4.2,5.4,5.7
93820,LEXINGTON,KY,9.5,9.3,9.4,9.2,7.6,6.8,6.1,5.9,6.4,7.3,8.5,8.8
93821,LOUISVILLE,KY,9,9,9.1,9,7.7,7.2,6.6,6.2,6.4,7.1,8.1,8.3
3816,PADUCAH,KY,8.3,8.4,8.8,8.3,6.8,5.8,5.3,4.7,5.1,6.2,7.5,7.8
13970,BATON ROUGE,LA,7.2,7.7,7.6,7.6,6.6,5.8,5.2,4.9,5.4,5.6,6.2,6.7
3937,LAKE CHARLES,LA,8.7,9.1,8.9,8.8,7.7,6.5,5.5,5.3,6.5,7.2,7.9,8.5
12916,NEW ORLEANS,LA,9.1,9.4,9.2,9.3,8.1,6.7,5.9,6.1,7.2,7.9,8.3,8.7
13957,SHREVEPORT,LA,8.1,8.5,8.7,8.6,7.7,6.6,6.1,5.7,6.2,6.4,7.3,7.6
14607,CARIBOU,ME,8.4,8.5,9.1,8.8,8.4,7.5,6.6,6.3,7.1,7.9,8.3,8.2
14764,PORTLAND,ME,8.1,8.5,9.3,9.2,8.3,7.5,6.9,6.7,7,7.7,7.9,8
93721,BALTIMORE,MD,7.9,8.2,8.8,8.5,7.3,6.7,6.2,5.8,6.3,6.5,7.1,7.4
14739,BOSTON,MA,12.6,12.6,12.8,12.2,11.2,10.6,10.2,9.9,10.4,11.3,11.6,12.3
94746,WORCESTER,MA,11.4,11.5,11.4,10.8,9.9,9.2,8.8,8.4,8.8,9.9,10.7,11.3
94849,ALPENA,MI,8.3,8.4,8.4,8.8,7.9,6.9,6.4,6.2,6.6,7.6,8.2,8
94847,DETROIT,MI,11,10.5,10.4,10.4,9.1,8.4,7.9,7.3,7.7,9.2,10.3,10.5
14826,FLINT,MI,10.4,10.2,10.2,10.3,9.1,7.9,7.2,6.8,7.5,8.8,9.8,9.8
94860,GRAND RAPIDS,MI,10.8,10.6,10.5,10.8,9.5,8.5,7.9,7.4,7.8,9.2,10.2,10.3
94814,HOUGHTON LAKE,MI,8.7,8.5,8.5,9.3,8.5,7.5,6.8,6.6,7.1,8.3,9,8.8
14836,LANSING,MI,10.5,10.2,10.1,10.2,8.9,7.9,7.1,6.7,7.2,8.6,9.9,10.1
14840,MUSKEGON,MI,11.4,10.9,10.6,10.7,9.4,8.5,8,7.7,8.4,9.9,11.2,11
14913,DULUTH,MN,10.6,10.5,10.5,11.1,10.4,9.3,8.5,8.5,9.5,10.4,10.6,10.4
14918,INTERNATIONAL FALLS,MN,7.7,7.9,8.3,8.6,8.2,7.4,6.5,6.4,7.3,8,8.1,7.5
14925,ROCHESTER,MN,13.4,13.2,13.3,13.6,12.5,11.2,9.6,9.2,10.5,11.9,13.2,13
14926,SAINT CLOUD,MN,8.5,8.5,9,9.7,9,7.9,6.9,6.6,7.6,8.5,8.7,8.2
3940,JACKSON,MS,7.2,7.5,7.6,7.2,6.1,5.2,4.6,4.5,5.3,5.5,6.1,6.8
13865,MERIDIAN,MS,6.8,7.3,7.3,6.8,5.7,4.9,4.5,4.3,5,5.1,5.8,6.4
93862,TUPELO,MS,7.4,7.9,8,7.4,6.3,5.4,4.9,4.9,5.7,5.7,6.6,7.1
