"eia_id","operator_name","net_gen_kwh"
"56291","FPL Energy Horse Hollow LLC",2513.4570000000000000
"56763","Capricorn Ridge Wind LLC",2259.4110000000000000
"59247","Hale Wind Energy",2083.6770000000000000
"60619","Public Service Co of Colorado",2024.3210000000000000
"57787","AE Power Services LLC",1775.1590000000000000
"61077","MidAmerican Energy Co",1704.0750000000000000
"58695","BHE Renewables, LLC",1552.4160000000000000
"58883","MidAmerican Energy Co",1518.4370000000000000
"56777","AE Power Services LLC",1369.5030000000000000
"57983","Stephens Ranch Wind Energy LLC",1358.6630000000000000
"61402","Foard City Wind, LLC",1302.2530000000000000
"62259","Ranchero Wind Farm LLC",1286.9430000000000000
"60987","BHE Renewables, LLC",1278.3850000000000000
"62038","Invenergy Services LLC",1262.7420000000000000
"61921","Tahoka Wind, LLC",1254.2330000000000000
"61079","MidAmerican Energy Co",1252.6230000000000000
"62133","MidAmerican Energy Co",1250.1660000000000000
"60414","Southern Power Co",1225.5750000000000000
"57501","MidAmerican Energy Co",1219.3730000000000000
"59292","Rattlesnake Creek Wind Project, LLC",1205.2130000000000000
"61984","Engie North America",1175.0190000000000000
"61789","Enel Green Power Diamond Vista Wind Project, LLC",1155.4770000000000000
"56485","Portland General Electric Co",1152.0890000000000000
"58766","Southern Power Co",1151.6000000000000000
"61969","Torrecillas Wind Energy, LLC",1141.3360000000000000
"58900","Balko Wind LLC",1140.1330000000000000
"59475","Palo Duro Wind",1138.9460000000000000
"61269","Thunder Ranch Wind Project, LLC",1123.9910000000000000
"58765","Invenergy Services LLC",1112.8910000000000000
"60689","Evergy Kansas Central, Inc",1109.6900000000000000
"58771","EDF Renewable Asset Holdings, Inc.",1099.2770000000000000
"60655","Enel Green Power NA, Inc.",1095.1040000000000000
"58098","Avangrid Renewables LLC",1077.1110000000000000
"60087","Onward Energy",1076.6930000000000000
"60342","MidAmerican Energy Co",1069.9900000000000000
"58902","Kingfisher Wind LLC",1066.8470000000000000
"62132","MidAmerican Energy Co",1060.5030000000000000
"61957","Pratt Wind, LLC",1046.3800000000000000
"61564","Interstate Power and Light Co",1040.4790000000000000
"59061","RWE Renewables Americas LLC",1017.9390000000000000
"59621","TX Jumbo Road Wind, LLC",1013.0560000000000000
"60574","EDF Renewable Asset Holdings, Inc.",994.4350000000000000
"61343","Avangrid Renewables LLC",994.4010000000000000
"58041","Chisholm View Wind Project",984.0590000000000000
"61270","Red Dirt Wind Project, LLC",983.8980000000000000
"59460","Southern Power Co",977.3480000000000000
"58474","Buffalo Dunes Wind Project LLC",973.7720000000000000
"61926","Armadillo Flats Wind Project, LLC",968.7390000000000000
"57195","Puget Sound Energy Inc",965.8880000000000000
"63053","MidAmerican Energy Co",965.5770000000000000
"62620","Sage Draw Wind, LLC",965.3970000000000000
"60901","Willow Springs Windfarm, LLC",954.1210000000000000
"60592","Rush Springs Wind Project",953.6830000000000000
"60104","Javelina Wind Energy, LLC",945.9920000000000000
"60338","Electra Wind, LLC",943.0590000000000000
"58571","Portland General Electric Co",941.7310000000000000
"60902","Dermott Wind, LLC",935.0300000000000000
"56501","MidAmerican Energy Co",917.2150000000000000
"60688","Cimarron Bend Wind Project II, LLC",909.2580000000000000
"61876","Persimmon Creek Wind Farm 1, LLC",905.1740000000000000
"57987","Canadian Hills Wind LLC",904.2520000000000000
"60687","Cimarron Bend Wind Project I, LLC",902.4760000000000000
"61212","Flat Top Wind I, LLC",895.3430000000000000
"58998","Enel Green Power NA, Inc.",891.9360000000000000
"58596","RWE Renewables Americas LLC",887.3260000000000000
"59068","RWE Renewables Americas LLC",881.2530000000000000
"62380","Emmons-Logan Wind, LLC",879.4690000000000000
"60339","Horse Creek Wind, LLC",875.9610000000000000
"61784","Invenergy Services LLC",867.1760000000000000
"60069","Cedar Bluff Wind, LLC",866.1350000000000000
"60620","Ninnescah Wind Energy LLC",860.7620000000000000
"61357","EDF Renewable Asset Holdings, Inc.",850.4720000000000000
"60639","Kingman Wind Energy, LLC",849.0310000000000000
"56797","Pioneer Prairie Wind Farm I, LLC",836.5630000000000000
"59974","Golden West Power Partners, LLC",836.4440000000000000
"58322","SunEdison LLC",834.1600000000000000
"60317","Pattern Operators LP",833.0700000000000000
"63030","RWE Renewables Americas LLC",828.9950000000000000
"58767","Invenergy Services LLC",821.6190000000000000
"56468","Avangrid Renewables LLC",818.4200000000000000
"61782","Engie North America",817.0400000000000000
"62079","Interstate Power and Light Co",812.0820000000000000
"60256","Bluestem Wind Energy, LLC",811.8760000000000000
"59083","Limon",811.6780000000000000
"62566","Blue Summit III Wind, LLC",811.2730000000000000
"60503","Crowned Ridge Wind, LLC",809.5630000000000000
"60505","Crocker Wind Farm, LLC",808.7360000000000000
"59284","Mammoth Plains Wind Project",808.3150000000000000
"59384","Evergreen Wind, LLC",808.2250000000000000
"58775","EDF Renewable Asset Holdings, Inc.",806.2970000000000000
"58872","ALLETE, Inc.",805.9970000000000000
"60326","MidAmerican Energy Co",803.3190000000000000
"62587","Mesquite Star LLC",799.7890000000000000
"58884","MidAmerican Energy Co",797.9000000000000000
"57332","Oklahoma Gas & Electric Co",797.0150000000000000
"62035","EDF Renewable Asset Holdings, Inc.",796.2220000000000000
"58657","Algonquin Power Co",795.3770000000000000
"59311","NextEra Energy Seiling Wind",793.2460000000000000
"59201","Northern States Power Co - Minnesota",789.5150000000000000
"56371","Leeward Asset Management, LLC",787.0160000000000000
"57449","Avangrid Renewables LLC",779.9630000000000000
"58694","BHE Renewables, LLC",776.9160000000000000
"60645","Javelina Wind Energy II, LLC",773.6960000000000000
"57159","Windy Flats Partners LLC",770.8970000000000000
"57678","Pattern Operators LP",765.6420000000000000
"56322","Puget Sound Energy Inc",764.9080000000000000
"62795","MidAmerican Energy Co",754.1810000000000000
"58773","EDF Renewable Asset Holdings, Inc.",753.0290000000000000
"56925","FPL Energy Crystal Lake Wind II LLC",752.5350000000000000
"57346","Elk City LLC",751.7100000000000000
"62356","Lockett Windfarm, LLC",742.1230000000000000
"56290","Flat Rock Windpower, LLC",741.2230000000000000
"57094","Avangrid Renewables LLC",736.9240000000000000
"60657","Southern Power Co",728.8640000000000000
"59888","Capital Power Corporation",727.6510000000000000
"59005","Mariah Holdings II LLC c/o CAMS",724.4360000000000000
"59332","Mesquite Creek Wind, LLC",721.9080000000000000
"58830","Consumers Energy Co",721.7920000000000000
"57614","Waverly Wind Farm LLC",711.2020000000000000
"58126","Limon",711.1280000000000000
"57315","Cedar Point LLC",710.1810000000000000
"61674","Wildcat Ranch Wind Project, LLC",709.6060000000000000
"58772","EDF Renewable Asset Holdings, Inc.",708.9980000000000000
"61889","Sholes Wind Energy Center, LLC",706.9430000000000000
"57995","NaturEner Rim Rock Energy LLC",705.5850000000000000
"56981","RWE Renewables Americas LLC",702.8980000000000000
"58658","Northern States Power Co - Minnesota",702.4660000000000000
"56337","Leeward Asset Management, LLC",699.5240000000000000
"57858","Caney River Wind Project",695.9720000000000000
"60355","Brady Wind, LLC",695.0890000000000000
"57623","Lexington Chenoa Wind Farm LLC",695.0230000000000000
"57210","AE Power Services LLC",694.4410000000000000
"60672","Osborn Wind Energy LLC",692.4420000000000000
"59943","SunEdison LLC",688.7900000000000000
"57617","Hidalgo Wind Farm LLC",685.7130000000000000
"59193","Chapman Ranch Wind LLC",684.4620000000000000
"59034","Shannon Wind LLC",684.1490000000000000
"59972","Bearkat Wind Energy 1, LLC",683.8080000000000000
"60145","Pattern Operators LP",683.4410000000000000
"57762","Cimarron Wind Energy LLC",682.8040000000000000
"60354","Brady Wind II, LLC",681.9940000000000000
"59442","Pattern Operators LP",677.8820000000000000
"57873","MidAmerican Energy Co",676.5550000000000000
"59200","Northern States Power Co - Minnesota",673.3670000000000000
"58008","SunEdison LLC",673.0760000000000000
"57325","FPL Energy Illinois Wind LLC",672.8730000000000000
"56563","FPL Peetz Table Wind Energy",672.7370000000000000
"57047","Northern States Power Co - Minnesota",667.8940000000000000
"58720","Pattern Operators LP",663.9510000000000000
"61638","Turtle Creek Wind Farm LLC",658.6270000000000000
"63803","Bronco Plains Wind, LLC",658.3210000000000000
"59975","Carousel Wind Farm, LLC",656.8430000000000000
"57644","Enel Green Power NA, Inc.",654.6210000000000000
"56495","NedPower Mt Storm LLC",652.9610000000000000
"58416","Headwaters Wind Farm LLC",650.2910000000000000
"56466","PacifiCorp",648.8300000000000000
"61417","Fluvanna Wind Energy 2 LLC",647.6610000000000000
"56487","White Creek Wind 1 LLC",646.6220000000000000
"57549","Caithness Shepherds Flat LLC",633.8350000000000000
"62488","Prairie Queen Wind Farm LLC",632.7950000000000000
"57973","EDF Renewable Asset Holdings, Inc.",632.3960000000000000
"57639","Ironwood Windpower LLC",630.8890000000000000
"59684","Enel Green Power NA, Inc.",630.5400000000000000
"58242","Pattern Operators LP",624.0780000000000000
"60218","Frontier Windpower, LLC",619.8870000000000000
"61756","Meadow Lake Wind Farm VI LLC",619.7190000000000000
"57284","Algonquin Power Co",618.5450000000000000
"59063","RWE Renewables Americas LLC",617.9430000000000000
"59837","EDF Renewable Asset Holdings, Inc.",616.2410000000000000
"57550","Caithness Shepherds Flat LLC",616.1170000000000000
"61747","Foxtail Wind, LLC",614.4770000000000000
"59245","Fluvanna Wind Energy LLC",614.2260000000000000
"60270","RWE Renewables Americas LLC",612.7780000000000000
"58127","Limon",611.2740000000000000
"60587","EDF Renewable Asset Holdings, Inc.",605.0880000000000000
"59321","Los Vientos Windpower IV, LLC",601.0030000000000000
"55581","FPL Energy Upton Wind LP",600.8570000000000000
"56361","Avangrid Renewables LLC",600.4920000000000000
"62220","Engie North America",600.3420000000000000
"58965","Montana-Dakota Utilities Co",600.1260000000000000
"56432","NRG Energy Gas & Wind Holdings Inc",597.8350000000000000
"57526","Caithness Shepherds Flat LLC",597.0550000000000000
"61565","Interstate Power and Light Co",596.5490000000000000
"57862","RWE Renewables Americas LLC",596.0300000000000000
"62952","Public Service Co of Colorado",593.1340000000000000
"56919","FPL Energy Ashtabula Wind LLC",593.1000000000000000
"58898","EDF Renewable Asset Holdings, Inc.",592.9290000000000000
"60743","Rattlesnake Power, LLC",590.9750000000000000
"58099","Avangrid Renewables LLC",589.5890000000000000
"58078","Rocky Ridge Wind Project LLC",588.5490000000000000
"57358","CPV Keenan II Renewable Energy Co LLC",586.4550000000000000
"58938","Enel Green Power NA, Inc.",586.2430000000000000
"62081","Interstate Power and Light Co",582.4520000000000000
"56923","FPL Energy Crystal Lake Wind LLC",577.6090000000000000
"56097","FPL Energy New Mexico Wind LLC",573.3890000000000000
"61865","Rio Bravo Windpower, LLC",572.7570000000000000
"59320","Los Vientos Windpower III, LLC",571.4670000000000000
"60013","Southern Power Co",570.0840000000000000
"56252","MidAmerican Energy Co",570.0210000000000000
"60504","Blazing Star Wind Farm, LLC",567.1950000000000000
"56924","FPL Energy Story Wind LLC",564.6540000000000000
"56979","RWE Renewables Americas LLC",559.5670000000000000
"61261","EDF Renewable Asset Holdings, Inc.",559.3830000000000000
"58683","Enel Green Power NA, Inc.",559.2050000000000000
"56841","PacifiCorp",557.3970000000000000
"56613","Logan Wind Energy LLC",557.3880000000000000
"56920","RWE Renewables Americas LLC",557.3270000000000000
"55968","Trent Wind Farm LP",555.8400000000000000
"7526","Sacramento Municipal Util Dist",555.7750000000000000
"57663","Cimarron Windpower II, LLC",553.7030000000000000
"62247","AES Distributed Energy",553.0340000000000000
"57974","EDF Renewable Asset Holdings, Inc.",552.0970000000000000
"61836","Minco Wind IV, LLC",551.0360000000000000
"57463","SunEdison LLC",550.7090000000000000
"58321","Invenergy Services LLC",550.3250000000000000
"57927","Avangrid Renewables LLC",549.6560000000000000
"57424","Avangrid Renewables LLC",548.6140000000000000
"59968","Avangrid Renewables LLC",546.2670000000000000
"57514","Pattern Operators LP",542.8970000000000000
"56811","MidAmerican Energy Co",542.0720000000000000
"56614","Old Trail Wind Farm LLC",542.0320000000000000
"61735","Hilltopper Wind Project, LLC",541.9120000000000000
"60883","Deerfield Wind Energy, LLC",541.8280000000000000
"57327","Duke Energy Top Of the World WindPower",539.7700000000000000
"60152","Pattern Operators LP",539.6100000000000000
"57802","RWE Renewables Americas LLC",539.5110000000000000
"55992","Desert Sky Wind Farm LP",539.3780000000000000
"59066","RWE Renewables Americas LLC",535.7060000000000000
"58614","Avangrid Renewables LLC",532.2760000000000000
"60545","Southern Power Co",529.4490000000000000
"56483","Mesquite Wind LLC",528.5930000000000000
"60471","Green River Wind Farm Phase 1, LLC",527.6410000000000000
"60873","MidAmerican Energy Co",527.2620000000000000
"56338","High Trail Wind Farm LLC",525.0240000000000000
"57198","Wisconsin Power & Light Co",520.3700000000000000
"57212","RWE Renewables Americas LLC",520.3700000000000000
"56809","MidAmerican Energy Co",520.0890000000000000
"56251","MidAmerican Energy Co",519.5930000000000000
"56843","PacifiCorp",518.6520000000000000
"56377","Invenergy Services LLC",517.3960000000000000
"57751","Los Vientos Wind 1A, LLC",513.6140000000000000
"63133","Roundhouse Renewable Energy, LLC",513.3470000000000000
"60366","Old Settler Wind, LLC",513.1060000000000000
"58774","EDF Renewable Asset Holdings, Inc.",511.1380000000000000
"56605","FPL Energy Langdon Wind LLC",511.0570000000000000
"56593","RWE Renewables Americas LLC",510.7150000000000000
"63025","Clear Creek Wind, LLC",509.0320000000000000
"56776","Invenergy Services LLC",507.6680000000000000
"58681","Onward Energy",503.8580000000000000
"56984","RWE Renewables Americas LLC",503.8310000000000000
"56983","RWE Renewables Americas LLC",502.0070000000000000
"57981","Algonquin Power Co",501.7760000000000000
"60217","Rocksprings Val Verde Wind, LLC",501.7090000000000000
"59732","Green Pastures Wind I, LLC",500.9690000000000000
"61001","Southern Power Co",492.8060000000000000
"61776","Midway Wind, LLC",492.2900000000000000
"56784","Cloud County Windfarm, LLC",490.6360000000000000
"57531","Onward Energy",490.5070000000000000
"62711","Plum Creek Wind, LLC",488.1430000000000000
"56857","Marble River, LLC",488.0060000000000000
"56617","EDF Renewable Asset Holdings, Inc.",487.8630000000000000
"56810","MidAmerican Energy Co",487.7650000000000000
"56395","Mesquite Wind LLC",484.2600000000000000
"56484","AES Wind Generation Inc",483.5050000000000000
"57484","Avangrid Renewables LLC",482.6280000000000000
"59733","Green Pastures Wind II, LLC",480.7630000000000000
"57113","Blackstone Wind Farm II LLC",479.8010000000000000
"62630","Engie North America",479.4810000000000000
"59118","Cameron Wind 1 LLC",476.5580000000000000
"57333","Avangrid Renewables LLC",476.3810000000000000
"61582","Terra-Gen Operating Co-Wind",468.9820000000000000
"57290","Northern Colorado Wind LLC",466.2600000000000000
"57874","MidAmerican Energy Co",464.3980000000000000
"60088","Onward Energy",464.3760000000000000
"62562","High Lonesome Wind Power, LLC",461.2100000000000000
"62258","Mesteno Wind",460.3990000000000000
"57374","EDF Renewable Asset Holdings, Inc.",457.2510000000000000
"60905","Oliver Wind III, LLC",457.1410000000000000
"55265","Northern States Power Co - Minnesota",454.9950000000000000
"57109","Meadow Lake Wind Farm LLC",454.8070000000000000
"61609","Heartland Divide Wind Project, LLC",451.8940000000000000
"57752","Los Vientos Wind 1B, LLC",448.2290000000000000
"58372","Blue Summit Wind LLC",446.9630000000000000
"56773","Invenergy Services LLC",446.7720000000000000
"56355","Interstate Power and Light Co",445.4740000000000000
"57675","RWE Renewables Americas LLC",445.2690000000000000
"56335","Blue Canyon Windpower II LLC",444.5670000000000000
"58137","NextEra Energy Resources Ensign Wind",444.4010000000000000
"62938","Allete Clean Energy",441.7050000000000000
"60856","Astra Wind LLC",439.6590000000000000
"58018","Shooting Star Power Partners, LLC",439.4110000000000000
"61047","Coyote Ridge LLC",438.2290000000000000
"56921","RWE Renewables Americas LLC",436.3990000000000000
"55560","FPL Energy Vansycle LLC",436.1020000000000000
"57469","Garden Wind LLC",434.8120000000000000
"61407","Cottonwood Wind Project",432.5950000000000000
"57135","RWE Renewables Americas LLC",432.5290000000000000
"58886","MidAmerican Energy Co",431.7610000000000000
"56270","FPL Energy Callahan Wind, LLC",431.4650000000000000
"58838","Keechi Wind, LLC",431.0910000000000000
"59902","Capital Power Corporation",431.0020000000000000
"58154","North Sky River Energy LLC",428.4220000000000000
"59903","Capital Power Corporation",426.5350000000000000
"56459","Avangrid Renewables LLC",425.7440000000000000
"61221","Redbed Plains Wind Farm LLC",424.6910000000000000
"61787","Invenergy Services LLC",424.1700000000000000
"61866","Southern Power Co",423.5270000000000000
"56702","Turlock Irrigation District",422.3640000000000000
"56311","Leeward Asset Management, LLC",422.1100000000000000
"59637","MidAmerican Energy Co",421.4480000000000000
"56823","Hackberry Wind LLC",418.1830000000000000
"57998","Longroad Energy Services 2",416.6920000000000000
"61106","DTE Electric Company",415.6540000000000000
"56273","FPL Energy Weatherford, LLC",415.0590000000000000
"56255","Puget Sound Energy Inc",414.6730000000000000
"57975","EDF Renewable Asset Holdings, Inc.",413.7940000000000000
"59234","Arbuckle Mountain Wind Farm LLC",412.6680000000000000
"59547","Pattern Operators LP",409.4100000000000000
"59065","Enel Green Power NA, Inc.",409.1800000000000000
"56765","Avangrid Renewables LLC",408.2020000000000000
"60983","Buckthorn Wind Project, LLC",407.3410000000000000
"56304","NRG Energy Gas & Wind Holdings Inc",405.4400000000000000
"56645","Osceola Windpower LLC",405.3930000000000000
"57260","NRG Energy Gas & Wind Holdings Inc",404.2920000000000000
"56638","AES Wind Generation Inc",403.4500000000000000
"58994","NextEra Energy Resources Breckinridge",402.0710000000000000
"57342","White Oak Energy LLC",401.2020000000000000
"56804","Acciona Wind Energy USA LLC",400.3230000000000000
"57211","AE Power Services LLC",399.6170000000000000
"61032","Scout Clean Energy LLC",399.2820000000000000
"56640","Orion Energy Group LLC",399.2800000000000000
"57769","AE Power Services LLC",397.7050000000000000
"57079","Longroad Energy Services LLC",395.3860000000000000
"60502","Southern Power Co",395.2740000000000000
"56362","Avangrid Renewables LLC",394.0320000000000000
"58203","FPLE Wind, LLC",393.2820000000000000
"57320","Avangrid Renewables LLC",392.7060000000000000
"58121","DTE Electric Company",392.2480000000000000
"56961","Duke Energy DEGS Notrees",390.4290000000000000
"61970","Blue Summit II Wind, LLC",390.2850000000000000
"57199","Wisconsin Electric Power Co",389.6800000000000000
"62269","EDF Renewable Asset Holdings, Inc.",388.9040000000000000
"57121","Ashtabula Wind II LLC",388.6530000000000000
"57299","PacifiCorp",388.2420000000000000
"61344","Avangrid Renewables LLC",388.2340000000000000
"59312","NextEra Energy Seiling Wind",387.9340000000000000
"56874","EDF Renewable Asset Holdings, Inc.",387.4220000000000000
"56774","Invenergy Services LLC",386.6970000000000000
"59655","Consolidated Edison Development Inc.",385.8570000000000000
"57189","Pattern Operators LP",384.6470000000000000
"57493","RWE Renewables Americas LLC",382.5940000000000000
"57303","Loraine Windpower Project",382.0060000000000000
"57116","Quilt Block Wind Farm LLC",381.4530000000000000
"57174","Colorado Highlands Wind LLC",378.1780000000000000
"60594","Terra-Gen Operating Co-Wind",377.2980000000000000
"56093","NextEra Energy Operating Services LLC",377.1400000000000000
"57282","NRG Yield LLC",376.8530000000000000
"59244","Lorenzo Wind, LLC",374.2830000000000000
"56795","Avangrid Renewables LLC",373.7600000000000000
"57002","Onward Energy",373.6370000000000000
"56669","Acciona Wind Energy USA LLC",373.1980000000000000
"56351","Evergy Metro",371.2270000000000000
"61303","Bluff Point Wind, LLC",370.8500000000000000
"58351","Tuscola Bay Wind LLC",370.6010000000000000
"57530","Onward Energy",368.3240000000000000
"56945","NRG Energy Gas & Wind Holdings Inc",367.9050000000000000
"57095","Avangrid Renewables LLC",365.2160000000000000
"60999","Southern Power Co",364.3820000000000000
"56842","PacifiCorp",363.2210000000000000
"57097","Avangrid Renewables LLC",363.1230000000000000
"58106","Ridgeline Energy LLC",360.9420000000000000
"57616","Blue Canyon Windpower VI LLC",360.5090000000000000
"57040","PacifiCorp",358.8150000000000000
"57153","Langford Wind Power LLC",356.6940000000000000
"60059","Los Vientos Windpower V, LLC",355.0950000000000000
"57108","Blue Canyon Windpower V LLC",354.9570000000000000
"56379","MidAmerican Energy Co",354.3850000000000000
"56985","Smoky Hills Wind Project II LLC",351.2790000000000000
"57194","Day County Wind LLC",349.5220000000000000
"56303","Avangrid Renewables LLC",348.1490000000000000
"56964","Bayonne Energy Center LLC",347.8270000000000000
"58394","NRG Yield LLC",347.3450000000000000
"56665","Acciona Wind Energy USA LLC",345.3390000000000000
"56212","Leeward Asset Management, LLC",343.9060000000000000
"57500","MidAmerican Energy Co",343.2760000000000000
"57913","Avangrid Renewables LLC",340.6920000000000000
"61040","Avangrid Renewables LLC",338.7170000000000000
"56659","Michigan Wind 2, LLC",338.6400000000000000
"58363","NextEra Energy Majestic Wind",338.6300000000000000
"56592","RWE Renewables Americas LLC",338.5130000000000000
"57956","FPLE Wind, LLC",337.6540000000000000
