Rank,State,"Energy Consumption
(Trillion Btu)",energy_consumption_gwh
1,Vermont,125.7,36839033.5
2,District of Columbia,143.8,42143619.87
3,Rhode Island,175.8,51521894.11
4,Hawaii,232.5,68139023.78
5,Delaware,277.1,81209993.5
6,New Hampshire,295.5,86602501.19
7,Maine,365.1,107000247.7
8,South Dakota,396.6,116231986.4
9,Montana,429.3,125815410.4
10,Wyoming,504.4,147825047.7
11,Idaho,550.1,161218395.6
12,North Dakota,625.9,183433182.7
13,Alaska,640.1,187594791.9
14,Connecticut,667,195478403.7
15,New Mexico,699.7,205061827.7
16,Nevada,710.1,208109766.8
17,West Virginia,803.9,235599833.2
18,Utah,829,242955917
19,Nebraska,863.7,253125483.2
20,Oregon,983,288088861.8
21,Arkansas,"1,034.70",303240636.1
22,Mississippi,"1,037.30",304002620.9
23,Kansas,"1,069.50",313439509.4
24,Maryland,"1,212.60",355377979.5
25,Massachusetts,"1,278.40",374662055.9
26,Colorado,"1,451.10",425275429.7
27,Arizona,"1,508.20",442009787.8
28,Iowa,"1,526.10",447255759.9
29,South Carolina,"1,533.30",449365871.6
30,Oklahoma,"1,579.20",462817833.7
31,Kentucky,"1,595.50",467594892.2
32,Missouri,"1,702.10",498836268.2
33,Wisconsin,"1,708.10",500594694.7
34,Minnesota,"1,731.50",507452557.7
36,Washington,"1,779.40",521490662
35,Alabama,"1,838.70",538869776.4
37,New Jersey,"1,893.90",555047299.5
38,Tennessee,"2,039.10",597601218.8
39,Virginia,"2,273.10",666179849.2
40,North Carolina,"2,470.90",724149306.9
41,Indiana,"2,564.40",751551451.9
42,Michigan,"2,610.60",765091335.3
43,Georgia,"2,727.60",799380650.5
44,New York,"3,354.20",983018983
45,Ohio,"3,404.50",997760457.8
46,Pennsylvania,"3,413.00",1000251562
47,Illinois,"3,612.90",1058836469
48,Florida,"4,003.10",1173192800
49,Louisiana,"4,200.40",1231015722
50,California,"6,922.80",2028872403
51,Texas,"13,480.80",3950832480